=== LOGIN + ENTER PLOT FLOW ===
File: c:/sniff/interrior_exterrior_advanced_editor/dumps/dump_12.0.1.66838_2026-04-15_09-35-59.pkt
Total packets: 12615
CMSG_PLAYER_LOGIN   @idx 419
SMSG_LOGIN_VERIFY_WORLD @idx 5393
SMSG_HOUSING_HOUSE_STATUS_RESPONSE @idx 6450
Dumping packets [0..6500]

[  102] t=4790098380641212920 CMSG 0x00400124 size=    43 unk_0x00400124
[  103] t=4790098380641212998 CMSG 0x00400124 size=    43 unk_0x00400124
[  104] t=4790098380641213043 CMSG 0x00400124 size=    43 unk_0x00400124
[  105] t=4790098380641213088 CMSG 0x00400124 size=    43 unk_0x00400124
[  106] t=4790098380641255432 SMSG 0x00420019 size=   267 unk_0x00420019
[  107] t=4790098380641255432 SMSG 0x004201B4 size=   174 unk_0x004201B4
[  108] t=4790098380641255432 SMSG 0x00420019 size=    64 unk_0x00420019
[  109] t=4790098380641255432 SMSG 0x00420019 size=    36 unk_0x00420019
[  110] t=4790098380641255432 SMSG 0x00420019 size=    47 unk_0x00420019
[  111] t=4790098380641255432 SMSG 0x00420019 size=   176 unk_0x00420019
[  112] t=4790098380641255432 SMSG 0x004201BE size=    12 unk_0x004201BE
[  113] t=4790098380641255432 SMSG 0x0042037B size=     6 unk_0x0042037B
[  114] t=4790098380641255432 SMSG 0x0042037A size=    12 unk_0x0042037A
[  115] t=4790098380641255432 SMSG 0x0042021B size=    12 unk_0x0042021B
[  116] t=4790098380641255432 SMSG 0x0042021B size=    12 unk_0x0042021B
[  117] t=4790098380641255432 SMSG 0x0042029B size=     5 unk_0x0042029B
[  118] t=4790098380641255432 SMSG 0x0042035B size=    99 unk_0x0042035B
[  119] t=4790098380641255432 SMSG 0x00420323 size=     5 unk_0x00420323
[  120] t=4790098380641255432 SMSG 0x0042021E size=   104 unk_0x0042021E
[  121] t=4790098380641255432 SMSG 0x0042021E size=   104 unk_0x0042021E
[  122] t=4790098380641255432 SMSG 0x0042021E size=   104 unk_0x0042021E
[  123] t=4790098380641255432 SMSG 0x0042021E size=   104 unk_0x0042021E
[  124] t=4790098380641255432 SMSG 0x0042021E size=   104 unk_0x0042021E
[  125] t=4790098380641255432 SMSG 0x0042021E size=   104 unk_0x0042021E
[  126] t=4790098380641255432 SMSG 0x0042021E size=   104 unk_0x0042021E
[  127] t=4790098380641255432 SMSG 0x0042021E size=   104 unk_0x0042021E
[  128] t=4790098380641255432 SMSG 0x0042021E size=   104 unk_0x0042021E
[  129] t=4790098380641255432 SMSG 0x0042021E size=   104 unk_0x0042021E
[  130] t=4790098380641543307 CMSG 0x0040013A size=     8 unk_0x0040013A
[  131] t=4790098380641746797 SMSG 0x0042021E size=   104 unk_0x0042021E
[  132] t=4790098380641746797 SMSG 0x0042021E size=   104 unk_0x0042021E
[  133] t=4790098380641746797 SMSG 0x0042021E size=   104 unk_0x0042021E
[  134] t=4790098380641746797 SMSG 0x0042021E size=   104 unk_0x0042021E
[  135] t=4790098380641746797 SMSG 0x0042021E size=   104 unk_0x0042021E
[  136] t=4790098380641746797 SMSG 0x0042021E size=   104 unk_0x0042021E
[  137] t=4790098380641746797 SMSG 0x0042021E size=   104 unk_0x0042021E
[  138] t=4790098380641746797 SMSG 0x0042021E size=   104 unk_0x0042021E
[  139] t=4790098380641746797 SMSG 0x0042021E size=   104 unk_0x0042021E
[  140] t=4790098380641746797 SMSG 0x0042021E size=   104 unk_0x0042021E
[  141] t=4790098380641746797 SMSG 0x0042021B size=    12 unk_0x0042021B
[  142] t=4790098380641746797 SMSG 0x004202AD size=   133 unk_0x004202AD
[  143] t=4790098380641746797 SMSG 0x004202AD size=   133 unk_0x004202AD
[  144] t=4790098380641746797 SMSG 0x004202AD size=   133 unk_0x004202AD
[  145] t=4790098380641746797 SMSG 0x004202AD size=   133 unk_0x004202AD
[  146] t=4790098380641746797 SMSG 0x004202AD size=   134 unk_0x004202AD
[  147] t=4790098380641746797 SMSG 0x004202AD size=   134 unk_0x004202AD
[  148] t=4790098380641746797 SMSG 0x0042021B size=    12 unk_0x0042021B
[  149] t=4790098380642444227 SMSG 0x00460003 size=8110812 unk_0x00460003
[  150] t=4790098380644401668 SMSG 0x0042021B size=    12 unk_0x0042021B
[  151] t=4790098380644401668 SMSG 0x0042021B size=    12 unk_0x0042021B
[  152] t=4790098380644401668 SMSG 0x0042021B size=    12 unk_0x0042021B
[  153] t=4790098380644401668 SMSG 0x004202AD size=   124 unk_0x004202AD
[  154] t=4790098380644401668 SMSG 0x004202AD size=   124 unk_0x004202AD
[  155] t=4790098380644401668 SMSG 0x004202C5 size=    72 unk_0x004202C5
[  156] t=4790098380644401668 SMSG 0x004202AD size=   124 unk_0x004202AD
[  157] t=4790098380644401668 SMSG 0x004202AD size=   124 unk_0x004202AD
[  158] t=4790098380644401668 SMSG 0x004202AD size=   124 unk_0x004202AD
[  159] t=4790098380644401668 SMSG 0x005F0007 size=    12 unk_0x005F0007
[  160] t=4790098380663633011 SMSG 0x005F0007 size=    13 unk_0x005F0007
[  161] t=4790098380700594500 SMSG 0x005F0007 size=    13 unk_0x005F0007
[  162] t=4790098380700594500 SMSG 0x005F0007 size=    13 unk_0x005F0007
[  163] t=4790098380700594500 SMSG 0x005F0007 size=    13 unk_0x005F0007
[  164] t=4790098380700594500 SMSG 0x005F0007 size=    13 unk_0x005F0007
[  165] t=4790098380700594500 SMSG 0x005F0007 size=    13 unk_0x005F0007
[  166] t=4790098380706885198 CMSG 0x00400010 size=   410 unk_0x00400010
[  167] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  168] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  169] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  170] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  171] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  172] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  173] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  174] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  175] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  176] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  177] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  178] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  179] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  180] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  181] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  182] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  183] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  184] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  185] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  186] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  187] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  188] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  189] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  190] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  191] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  192] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  193] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  194] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  195] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  196] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  197] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  198] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  199] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  200] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  201] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  202] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  203] t=4790098380707002204 SMSG 0x00460000 size=    37 unk_0x00460000
[  204] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  205] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
[  206] t=4790098380707002204 SMSG 0x00460000 size=    21 unk_0x00460000
